date,yield,species,region,size_range,dump_size,cooking_time,post_cook_temp
2018-07-14,0.584863945282063,Albacore,Indian ocean,4-5,1888.2760843868,2.0667109170917,66.166377115554
2019-08-28,0.225612655118096,Albacore,Pacific ocean,3-4,2209.72967565496,1.89027401238544,61.9664873938885
2018-12-02,0.428228178837901,Albacore,Pacific ocean,>6,2139.59281480305,1.86900628835269,64.4550458281079
2019-12-29,0.564229957914343,Yellowfin,Indian ocean,1-3,1994.03513692251,3.00208288569585,66.9174124629466
2019-03-24,0.570163724579761,Albacore,Indian ocean,3-4,1843.1287724563,1.81476354390997,66.0775005771032
2018-07-04,0.302578918638358,Albacore,Atlantic ocean,>6,2226.45127683762,2.18033521567986,64.4292680544833
2018-08-10,0.62344862462312,Yellowfin,Indian ocean,4-5,2003.29299946956,2.8390677074627,67.2214776709732
2018-08-11,1.01228237275001,Yellowfin,Pacific ocean,<1,2106.55841533354,2.35573560040323,70.1687991079917
2018-02-12,0.22390607946325,Yellowfin,Atlantic ocean,4-5,2326.72729394943,3.14295992548106,67.6506857131631
2019-09-05,0.493205468217554,Albacore,Atlantic ocean,>6,2253.41915904173,1.87266791746475,62.5127937353431
2019-03-30,0.290376729513162,Yellowfin,Indian ocean,<1,1903.75782710882,3.13872003585122,66.3170182382157
2019-01-18,0.413784564444352,Albacore,Indian ocean,1-3,2372.39375967643,1.92902162784878,64.5520583446473
2019-06-13,0.807347839998536,Yellowfin,Indian ocean,<1,1944.3190803437,2.45551780728969,68.7162480700894
2018-03-18,0.662646628794953,Yellowfin,Atlantic ocean,>6,1815.29809477405,2.73189723421825,67.7858309269395
2018-09-08,0.838833885041981,Yellowfin,Pacific ocean,1-3,1656.22223771831,3.16161137429685,68.1954952536388
2019-11-16,0.645036373291691,Yellowfin,Pacific ocean,3-4,1737.51172353861,3.1729879638679,68.8893643000925
2019-07-11,0.792477928336306,Yellowfin,Pacific ocean,3-4,2042.68650945691,3.10562848383315,70.5679162507308
2018-06-10,0.455652839424285,Yellowfin,Pacific ocean,>6,2238.52626689236,2.36695241512405,66.6821174544642
2019-03-11,0.718366925378511,Yellowfin,Atlantic ocean,1-3,1900.34378075012,2.82933505946837,69.7212366429153
2018-06-15,0.702264460116064,Yellowfin,Atlantic ocean,1-3,1858.4088114493,3.21014078823235,66.5701640599261
2019-02-24,0.21756216339786,Albacore,Atlantic ocean,3-4,2332.94543236698,1.89862313563934,58.3532139850352
2019-03-26,0.973237377018521,Yellowfin,Atlantic ocean,<1,1756.67938273949,2.58877151538412,69.9767391683619
2019-07-04,0.4838383528167,Yellowfin,Atlantic ocean,1-3,2078.67151585043,2.93789515893048,67.0511700932998
2019-10-26,0.599222805034409,Albacore,Pacific ocean,>6,1910.73174922212,1.98214545769099,64.9589798422559
2019-07-14,0.310941664147517,Albacore,Indian ocean,1-3,2167.18828554984,1.49295865072363,63.5909725393503
2019-06-15,0.464888451024192,Albacore,Pacific ocean,4-5,1968.83199958655,2.01684153572612,62.8585833110267
2018-10-04,0.724711345118212,Yellowfin,Atlantic ocean,3-4,1856.97105554621,3.26903376254021,68.1593915030975
2019-04-26,0.608852883145831,Yellowfin,Atlantic ocean,3-4,2229.3945198561,3.07891435097704,68.1895791126688
2018-06-25,0.378700142367922,Albacore,Atlantic ocean,3-4,1943.4860688003,1.78291325906066,61.5845046516256
2019-09-14,0.819005380756073,Yellowfin,Pacific ocean,4-5,2110.25998073738,3.10154478164831,71.5079432139587
2018-05-08,0.63076324718546,Yellowfin,Atlantic ocean,4-5,2042.37049482791,3.38206961246268,68.3086724371173
2019-04-16,0.735497567059361,Albacore,Indian ocean,5-6,1929.89877426452,2.45588552611443,66.6820789668102
2018-06-13,0.638148318434199,Albacore,Atlantic ocean,3-4,1651.20618018095,2.35034811018405,63.2925782423747
2018-05-28,0.755648817110067,Yellowfin,Atlantic ocean,4-5,2187.80532934969,2.6604585416847,69.7132054378006
2020-01-01,0.53661095429547,Yellowfin,Indian ocean,4-5,1808.81711293572,2.69333431311492,65.6609294020794
2018-08-18,1.05449196069529,Yellowfin,Indian ocean,1-3,2025.78048574362,3.21021718161778,71.557231608836
2018-12-15,0.521747442497197,Yellowfin,Atlantic ocean,<1,2175.82353403222,2.51944092716621,67.8188480050558
2018-09-28,0.642695042699256,Albacore,Pacific ocean,1-3,1604.11848869573,2.17190242860369,62.8755294765351
2019-04-15,0.49333931027547,Albacore,Atlantic ocean,5-6,2239.86130262955,1.97995339458697,65.2327366397454
2018-12-24,0.377799668876514,Albacore,Pacific ocean,3-4,2352.94464267487,2.30066302483226,65.9487071902157
2018-10-26,0.516981895754548,Albacore,Pacific ocean,<1,1863.49289949567,2.49273899012939,65.0283483522854
2019-12-10,0.654198715638804,Albacore,Indian ocean,3-4,1767.51166339332,2.02366944549597,62.693206342828
2018-06-07,0.533757947939552,Yellowfin,Indian ocean,3-4,2098.42491343941,3.13013200647814,68.2333532440117
2019-02-05,0.36372638059878,Albacore,Atlantic ocean,4-5,2077.11825735701,1.67323999689396,65.2861125214544
2019-03-23,0.147991459895989,Albacore,Pacific ocean,3-4,2395.83716726658,1.71498880309141,64.5926571562385
2019-04-08,0.502948685433039,Yellowfin,Pacific ocean,>6,2064.0408803941,3.22530618088738,66.9883107193464
2018-09-26,0.683646385528057,Yellowfin,Atlantic ocean,3-4,1942.91973224381,2.65760910992889,68.5026048884731
2018-08-24,0.498000226829027,Yellowfin,Pacific ocean,<1,1931.56008977703,2.58601774169628,68.1190050356117
2019-02-03,0.252002632383266,Albacore,Pacific ocean,1-3,2334.99120294584,2.00824796862167,66.7374259309885
2018-01-21,0.476863672054926,Albacore,Atlantic ocean,5-6,1833.44228134461,1.91382436691553,62.8962128725384
2019-12-03,0.548469021955751,Albacore,Indian ocean,3-4,2087.87933387764,1.68145495365044,64.6955742074365
2019-10-09,0.589704724333235,Yellowfin,Pacific ocean,1-3,2414.97351331365,2.78989771236374,69.0836699772034
2019-03-06,0.46956246761242,Albacore,Atlantic ocean,5-6,1680.53894433872,2.18218762227377,63.079366234038
2019-06-11,0.523830094014023,Albacore,Pacific ocean,<1,1884.4325210812,1.76303927361522,64.8459405811022
2019-07-01,0.642745918066107,Yellowfin,Pacific ocean,5-6,2260.38639572246,2.74982985227585,68.4938611969501
2018-07-26,0.71563196025447,Albacore,Pacific ocean,3-4,1661.50739776204,2.25533064963091,62.5653174514551
2019-04-19,0.571550467084635,Yellowfin,Pacific ocean,<1,2459.37587437767,3.17473816625727,69.5044957852695
2018-06-19,0.725881997178852,Albacore,Atlantic ocean,5-6,1919.71196767601,2.47424204494972,61.6532671300561
2019-12-23,0.584927142010141,Yellowfin,Indian ocean,5-6,1801.09955053941,3.12982256394142,67.5028267930979
2019-04-27,0.260310565694869,Yellowfin,Indian ocean,1-3,1983.72000237888,2.64811988181703,65.3042124992462
2018-06-28,0.382285661639253,Yellowfin,Pacific ocean,5-6,2034.41404202364,2.88238787359626,65.7780261852554
2019-08-18,0.517915760291118,Yellowfin,Atlantic ocean,3-4,2128.3779573853,2.91298590806886,68.2442626379736
2019-05-01,0.709395716393378,Yellowfin,Pacific ocean,>6,2018.71877152395,3.49742498603063,70.7654036073737
2019-01-27,0.415097681505992,Yellowfin,Indian ocean,>6,1930.14838970159,3.5229427016334,66.471259475871
2019-10-16,0.762210778927177,Yellowfin,Pacific ocean,>6,1807.37158206039,3.35571505595474,69.3839281338721
2018-01-10,0.122260101130759,Albacore,Pacific ocean,1-3,2673.47063602678,1.91144022818038,63.024778563406
2018-12-04,0.5647307841472,Albacore,Indian ocean,1-3,1997.11697562565,2.03930651861203,64.2790785584086
2019-02-14,0.515172119256152,Albacore,Atlantic ocean,3-4,1956.43958087393,2.02438355309864,64.5706059972797
2018-07-06,0.686038774907936,Yellowfin,Indian ocean,<1,1860.4750943427,3.16869557233014,68.6408303008075
2019-04-18,0.880012080184181,Yellowfin,Pacific ocean,3-4,1989.74105062358,2.92803759278528,68.9956224733947
2018-03-30,0.806512244065852,Yellowfin,Pacific ocean,<1,1938.32271493729,3.16827331065876,69.19354852017
2018-12-14,0.737651017169138,Albacore,Pacific ocean,<1,1614.1867741489,1.90503523391761,63.8403886215247
2018-08-01,0.738019085693689,Albacore,Pacific ocean,1-3,1571.24933944103,2.62841551777004,64.5943663535429
2018-02-11,0.710566306566477,Yellowfin,Pacific ocean,>6,2011.58161774906,2.56935246866715,68.3008941126955
2018-06-12,0.460138066970227,Albacore,Indian ocean,3-4,1770.85938116151,1.91594581748639,63.8421763225038
2018-01-15,0.380788795646734,Albacore,Atlantic ocean,3-4,2017.79627397771,2.11890473420776,60.9387373623065
2018-05-26,0.438532505007863,Albacore,Atlantic ocean,3-4,2030.32467016654,1.57966308387294,65.8911999022767
2019-04-09,0.517527593358428,Albacore,Indian ocean,5-6,1817.11552170389,2.0432550889557,60.2953920798966
2018-01-07,0.911648174912487,Yellowfin,Atlantic ocean,5-6,1638.70948320913,3.07225793256264,71.1584503579761
2018-09-03,0.338641611066999,Albacore,Indian ocean,3-4,2068.11084121375,2.03213811180327,62.1339093725617
2018-11-22,0.359953789229138,Albacore,Indian ocean,1-3,2271.01517402569,1.55223751898496,64.4815522808483
2018-12-17,0.447956908325128,Albacore,Indian ocean,5-6,2132.52415444254,1.95123908649088,61.8741627200002
2018-06-15,0.24985378461079,Albacore,Pacific ocean,3-4,2235.16356215561,1.65345656815402,63.6032343271046
2018-06-25,0.577858343451997,Albacore,Indian ocean,1-3,1824.72046310136,2.16379264169227,62.8036682347447
2018-06-28,0.296367385236543,Albacore,Pacific ocean,3-4,2126.2420164449,1.85064955925162,65.0279146461063
2019-02-14,0.651230651916723,Albacore,Atlantic ocean,5-6,1456.48197339468,1.78921102068713,63.3670139392834
2019-09-05,0.602799572411766,Albacore,Atlantic ocean,1-3,1798.23577652647,1.98653106400278,65.5903409895196
2019-08-04,0.573427999038469,Albacore,Atlantic ocean,<1,2226.99878970319,2.06735267602339,62.7796082562534
2018-08-13,0.303255192571727,Albacore,Atlantic ocean,>6,2185.45655008165,1.94013038069356,66.0175808720117
2019-07-04,0.480922554116588,Albacore,Pacific ocean,3-4,2148.85826706801,1.60354116483311,65.1501639605755
2019-06-21,0.278599089441754,Yellowfin,Indian ocean,<1,2055.52341766788,3.25644985708534,66.7749152968922
2018-09-10,0.557943147384138,Yellowfin,Atlantic ocean,>6,2140.08790272702,3.14172078932898,67.0052282227258
2018-08-25,0.993478817842965,Yellowfin,Indian ocean,3-4,1771.58142491163,3.41281144523161,72.9111897930413
2018-04-25,0.738089598339748,Albacore,Pacific ocean,4-5,2042.1970577438,2.58183603673468,61.3429224723812
2018-02-27,0.541441812830416,Yellowfin,Indian ocean,3-4,1884.56022229309,3.02750924824953,66.0239991606229
2019-12-25,0.478293548472607,Albacore,Pacific ocean,5-6,1907.778285718,1.95232702858793,65.314394448957
2018-07-10,0.911225716969383,Yellowfin,Atlantic ocean,<1,1825.75988752712,2.55646533660399,68.5563271243399
2018-12-10,0.647622624637554,Yellowfin,Atlantic ocean,4-5,1823.25668024644,3.70212223121275,70.140722726737
2018-04-01,0.102202609849305,Yellowfin,Pacific ocean,<1,2139.14468840028,2.87340167333731,64.918443550972
2019-10-21,0.406982047286281,Albacore,Atlantic ocean,4-5,2108.62472681666,2.27284076937506,65.4782936019232
2018-09-06,0.862002115156072,Yellowfin,Atlantic ocean,4-5,1759.12522678754,2.97084298758614,69.1464304323821
2019-03-31,0.790883986364261,Yellowfin,Indian ocean,>6,2034.17564254914,3.12168806622321,70.844938959223
2019-11-25,0.334805723468936,Albacore,Indian ocean,4-5,2130.71787575962,1.84343360148804,64.2040022933863
2018-06-04,0.626491001615782,Yellowfin,Indian ocean,4-5,1941.21687631675,2.92290040415735,67.1206759628336
2019-02-23,0.415606272215754,Yellowfin,Atlantic ocean,4-5,1845.57902354581,3.24480312088813,65.5405509723582
2019-12-01,0.836798915478511,Yellowfin,Indian ocean,<1,1817.16867751853,3.41833976134591,69.8443514210581
2019-10-09,0.632457453708833,Albacore,Atlantic ocean,4-5,1925.58980707541,2.28676021636818,66.2595859285681
2019-03-05,0.594512047137997,Yellowfin,Pacific ocean,5-6,1719.82611143886,2.57468276589227,67.2567405724202
